kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
12105051,K00141.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,2.624234833,132.304988,2454965.305,0.0,,0.781,1.3874,,2607.0,0.052044,2.93173,LS+MCMC,5.11,0.0368,85.62,1164.0,434.31,10.22,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1828,0.5324,q1_q17_dr25_koi,18.873169,249.06653,361.1,1,508.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.5493,Mandel and Agol (2002 ApJ 580 171),,,012/012105/012105051/dv/kplr012105051-20160209194854_dvr.pdf,012/012105/012105051/dv/kplr012105051-001-20160209194854_dvs.pdf,5340.0,4.514,0.36,0.899,0.963,,q1_q17_dr25_stellar,288.0383,50.651611,13.687,14.261,13.618,13.441,13.384,12.489,12.052,11.986,0.001,19.2025446,50.651584,-0.299,-0.095,0.00015,0.00017,-0.029,-0.285,0.287,-0.285,-0.374,0.47
8240904,K01070.03,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,92.77779,367.6112,2455200.611,0.0,,0.0174,6.64,,359.0,0.017215,2.81316,MCMC,1.92,0.4083,89.95,410.0,6.7,108.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.275,0.3869,q1_q16_koi,,,5.2,3,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,5888.0,4.444,0.1,1.019,1.053,,stellar_q1_q16,294.48438,44.166908,15.59,16.153,15.533,15.348,15.269,14.3,13.907,13.811,,,,,,,,,,,,,
3756801,K01206.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,422.917678,448.49648,2455281.496,0.0,,0.7887,31.274,,1367.7,0.037343,0.03569,MCMC,5.89,1.1043,89.38,292.0,1.73,69.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2711,0.3864,q1_q16_koi,,,61.7,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,5796.0,4.12,-0.02,1.444,1.004,,stellar_q1_q16,293.95459,38.899971,13.642,14.188,13.6,13.408,13.341,12.439,12.1,12.052,,,,,,,,,,,,,
8313667,K01145.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.996,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,30.5872153,162.8842,2454995.884,0.0,,0.013,5.3698,,464.8,0.01965,1.76632,LS+MCMC,2.32,0.1931,89.98,621.0,35.08,44.37,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2868,0.3588,q1_q17_dr25_koi,6.565337,22.413473,33.1,1,44.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9888,Mandel and Agol (2002 ApJ 580 171),,,008/008313/008313667/dv/kplr008313667-20160209194854_dvr.pdf,008/008313/008313667/dv/kplr008313667-001-20160209194854_dvs.pdf,5944.0,4.38,0.0,1.082,1.024,,q1_q17_dr25_stellar,296.54861,44.264671,14.143,14.581,14.09,13.956,13.89,13.028,12.723,12.685,0.036,19.769922,44.26456,0.52,-0.4,-0.00022,0.00018,-0.26,-0.07,0.27,-0.24,-0.19,0.31
10149023,K01081.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.0,0,0,0,0,q1_q17_dr25_sup_koi,DEEP_V_SHAPED,9.95639775,134.29186,2454967.292,0.0,,1.222,5.615,,510.5,0.244849,0.00774,LS+MCMC,28.15,0.095,69.16,905.0,158.42,3.44,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3024,0.3288,q1_q17_dr25_koi,5.694448,28.363348,32.9,1,139.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.8136,Mandel and Agol (2002 ApJ 580 171),,,010/010149/010149023/dv/kplr010149023-20160209194854_dvr.pdf,010/010149/010149023/dv/kplr010149023-001-20160209194854_dvs.pdf,6161.0,4.454,0.07,1.053,1.15,,q1_q17_dr25_stellar,294.76855,47.13279,15.22,15.65,15.15,15.035,14.95,14.08,13.802,13.725,0.477,19.651225,47.13308,-0.41,1.06,9e-05,-0.00014,0.21,-0.13,0.24,0.15,-0.16,0.22
9772531,K00950.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.993,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,31.201692472,183.4076137,2455016.408,0.0,,0.001,2.15663,,34514.0,0.169571,41.97515,LS+MCMC,8.31,0.1498,90.0,286.0,1.59,129.27,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.4418,0.2405,q1_q17_dr25_koi,130.21426,595.1253,607.4,1,44.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0441,Mandel and Agol (2002 ApJ 580 171),,,009/009772/009772531/dv/kplr009772531-20160209194854_dvr.pdf,009/009772/009772531/dv/kplr009772531-001-20160209194854_dvs.pdf,3748.0,4.796,-0.3,0.449,0.461,,q1_q17_dr25_stellar,292.65704,46.537338,15.798,17.249,15.856,15.176,14.823,13.584,12.953,12.753,0.535,19.5104665,46.5374253,-0.104,0.307,0.0006,0.0005,0.005,-0.002,0.005,0.032,0.415,0.416
10295951,K01154.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.871,0,0,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE,6.810823723,136.04667,2454969.047,0.0,,0.57,7.98574,,14447.0,0.114797,0.10154,LS+MCMC,26.06,0.0798,84.8,1626.0,1656.16,6.291,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3287,0.2412,q1_q17_dr25_koi,384.02817,2688.337,1441.9,1,160.0,1.0,q1_q17_dr25_tce,11111101110111011000000000000000,0.31,Mandel and Agol (2002 ApJ 580 171),,,010/010295/010295951/dv/kplr010295951-20160209194854_dvr.pdf,010/010295/010295951/dv/kplr010295951-001-20160209194854_dvs.pdf,7226.0,3.967,-0.4,2.079,1.461,,q1_q17_dr25_stellar,299.10281,47.377781,12.628,12.796,12.572,12.541,12.542,11.768,11.61,11.548,0.0,19.940189437,47.37779511,0.0525,0.0544,0.00038,0.0002,-0.006,-0.005,0.008,-0.01,-0.001,0.011
3329204,K01095.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.997,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,51.59809554,203.979914,2455036.98,0.0,,0.251,2.0153,,5869.2,0.070071,59.82806,LS+MCMC,6.57,0.2675,89.93,449.0,9.61,203.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,22.123877,81.96965,79.7,1,25.0,1.0,q1_q17_dr25_tce,01111111111111111000000000000000,0.8655,Mandel and Agol (2002 ApJ 580 171),,,003/003329/003329204/dv/kplr003329204-20160209194854_dvr.pdf,003/003329/003329204/dv/kplr003329204-001-20160209194854_dvs.pdf,5681.0,4.551,-0.06,0.859,0.957,,q1_q17_dr25_stellar,287.61688,38.402321,15.617,16.184,15.554,15.374,15.262,14.338,13.865,13.914,0.0,19.1744483,38.402282,-0.41,-0.14,0.0058,0.0004,-0.146,-0.096,0.175,0.039,-0.155,0.159
3230491,K01096.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,1500.0,315.33083,2455148.331,0.0,,0.9243,7.109,,9592.0,0.118113,8.77051,MCMC,9.8,2.4144,89.95,139.0,0.09,1014.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2747,0.3829,q1_q16_koi,,,62.5,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,5606.0,4.597,-0.4,0.76,0.832,,stellar_q1_q16,290.18304,38.321941,14.709,15.241,14.656,14.481,14.391,13.425,13.041,12.971,,,,,,,,,,,,,
2162635,K01032.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,1500.1406772,176.08226,2455009.082,0.0,,0.9131,25.727,,4129.9,0.07359,0.13376,MCMC,18.35,2.634,89.95,206.0,0.42,251.5,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1605,0.5624,q1_q16_koi,,,83.3,1,,,,,,Mandel and Agol (2002 ApJ 580 171),,,,,5009.0,3.755,0.07,2.283,1.083,,stellar_q1_q16,291.97754,37.532551,13.862,14.715,13.817,13.497,13.296,12.204,11.681,11.582,,,,,,,,,,,,,
